"Txhash","Blockno","UnixTimestamp","DateTime","From","To","Quantity","Method"
"0x29ff0eadcd2d49110066802e385ade1ead1c2d7b5131bf03d797e02620192638","11766942","1612137656","2021-02-01 00:00:56","0x0000000000000000000000000000000000000000","0x464c71f6c2f760dda6093dcb91c24c39e5d6e18c","3.40007","Repay"
"0x3e366ef394aa07773f961bdd662abbe3e4adad293a2123da97ab83574b151940","11766943","1612137671","2021-02-01 00:01:11","0x0000000000000000000000000000000000000000","0x464c71f6c2f760dda6093dcb91c24c39e5d6e18c","0.345178","0x34b0793b"
"0x3e366ef394aa07773f961bdd662abbe3e4adad293a2123da97ab83574b151940","11766943","1612137671","2021-02-01 00:01:11","0x0000000000000000000000000000000000000000","0xdebf20617708857ebe4f679508e7b7863a8a8eee","105,526.341244","0x34b0793b"
"0x60eeb5be6f5aabf49514a562b07233af1391ab57b8d8d384bf9dd77535a063b3","11766976","1612138114","2021-02-01 00:08:34","0x0000000000000000000000000000000000000000","0x464c71f6c2f760dda6093dcb91c24c39e5d6e18c","9.95981","0x90411a32"
"0x60eeb5be6f5aabf49514a562b07233af1391ab57b8d8d384bf9dd77535a063b3","11766976","1612138114","2021-02-01 00:08:34","0x0000000000000000000000000000000000000000","0xdebf20617708857ebe4f679508e7b7863a8a8eee","97,766.135871","0x90411a32"
"0x7f56e9d1efe8d0e0fad6c864051bf31e85fa00e1c373928600fbfb8a38d7c69f","11766987","1612138220","2021-02-01 00:10:20","0x0000000000000000000000000000000000000000","0x464c71f6c2f760dda6093dcb91c24c39e5d6e18c","2.331304","0xe6813563"
"0xc63dbed6f477fd5e053565eaa8f90004d7dcf93ef45851545e56bb569c921c70","11767047","1612139043","2021-02-01 00:24:03","0x0000000000000000000000000000000000000000","0x464c71f6c2f760dda6093dcb91c24c39e5d6e18c","17.458577","Borrow"
"0x173a127b6bd81a19847e88ecf615ced5680db9422b1bf8c66b1d35f066862aef","11767085","1612139492","2021-02-01 00:31:32","0x0000000000000000000000000000000000000000","0x464c71f6c2f760dda6093dcb91c24c39e5d6e18c","9.544097","Borrow"
"0xe6a6d46c69e3a5b73a3f312b13ac00df3eb65ffa6ede3ba64cc29864a5254fed","11767097","1612139657","2021-02-01 00:34:17","0x0000000000000000000000000000000000000000","0x464c71f6c2f760dda6093dcb91c24c39e5d6e18c","3.536237","Swap Borrow Rate Mode"
"0xaa0f3e3f061560135da3625f958912691aca7341fade39482104b11e99a8045b","11767105","1612139776","2021-02-01 00:36:16","0x0000000000000000000000000000000000000000","0x464c71f6c2f760dda6093dcb91c24c39e5d6e18c","2.551097","0x34b0793b"
"0xaa0f3e3f061560135da3625f958912691aca7341fade39482104b11e99a8045b","11767105","1612139776","2021-02-01 00:36:16","0xdebf20617708857ebe4f679508e7b7863a8a8eee","0x0000000000000000000000000000000000000000","84,110.64921","0x34b0793b"
"0x7f2fb8c6f811ef7793ce279a87bb6052bb912e71d9028dd0dd9f8b1c66ce7dbf","11767117","1612139918","2021-02-01 00:38:38","0x0000000000000000000000000000000000000000","0x464c71f6c2f760dda6093dcb91c24c39e5d6e18c","3.103481","0xe6813563"
"0x56eafede1a0e4df644d7f3b558df8902a19760cae1a13edd02785cc05c172f88","11767120","1612139942","2021-02-01 00:39:02","0x0000000000000000000000000000000000000000","0x464c71f6c2f760dda6093dcb91c24c39e5d6e18c","0.509104","Borrow"
"0x9d6004a86aa49beb64e720a697a0a81fcfbf72d38a8a5afa59b52713f124042e","11767123","1612139976","2021-02-01 00:39:36","0x0000000000000000000000000000000000000000","0x464c71f6c2f760dda6093dcb91c24c39e5d6e18c","0.721564","Repay"
"0xc9a40be7cc7d2137989fb175cd71a56ab2eb9b980821373b3f670a2e2f534cf7","11767126","1612140017","2021-02-01 00:40:17","0x0000000000000000000000000000000000000000","0x464c71f6c2f760dda6093dcb91c24c39e5d6e18c","0.869984","Swap Borrow Rate Mode"
"0xb9813c444b4cc59fd27a6d2e6cb0dd126eee6a67138abbc504464af73c634b2f","11767130","1612140055","2021-02-01 00:40:55","0x0000000000000000000000000000000000000000","0x464c71f6c2f760dda6093dcb91c24c39e5d6e18c","0.806339","Flash Loan"
"0xb9813c444b4cc59fd27a6d2e6cb0dd126eee6a67138abbc504464af73c634b2f","11767130","1612140055","2021-02-01 00:40:55","0x0000000000000000000000000000000000000000","0x87e6888935180a9b27a9b48b75c9b779bfec1f76","1,086,530.405534","Flash Loan"
"0x1068236af9c494508199301573c8e7b3f39d857663478b981c6e4128c313996c","11767133","1612140074","2021-02-01 00:41:14","0x0000000000000000000000000000000000000000","0x464c71f6c2f760dda6093dcb91c24c39e5d6e18c","0.402424","Deposit"
"0x1068236af9c494508199301573c8e7b3f39d857663478b981c6e4128c313996c","11767133","1612140074","2021-02-01 00:41:14","0x0000000000000000000000000000000000000000","0x777999be819ffecee44a995560a9d0e97780a30c","123,111.795018","Deposit"
"0x737a9057207c6632ea02ce727385fd975e2fe4cb2a09c94fd78faaef5f3513bc","11767135","1612140094","2021-02-01 00:41:34","0x0000000000000000000000000000000000000000","0x464c71f6c2f760dda6093dcb91c24c39e5d6e18c","0.423516","Repay"
"0x43bf557cea44e2b44fb4e4afa6c2033bb7b7089ed2fd092261fd3db7c4cc4800","11767152","1612140263","2021-02-01 00:44:23","0x0000000000000000000000000000000000000000","0x464c71f6c2f760dda6093dcb91c24c39e5d6e18c","3.546049","Withdraw"
"0x43bf557cea44e2b44fb4e4afa6c2033bb7b7089ed2fd092261fd3db7c4cc4800","11767152","1612140263","2021-02-01 00:44:23","0x8343712fb99d2fea705d9394d39764b089737cbd","0x0000000000000000000000000000000000000000","30,163.282782","Withdraw"
"0x6ccc5aff41e3dc2477ed852d0959f1d324a67302790dfc8140aa35f00d747091","11767182","1612140523","2021-02-01 00:48:43","0xbe3c7637815db18f5d471a3a0d4f937ae83dad0e","0x63a3f444e97d14e671e7ee323c4234c8095e3516","42,436.212864","Flash Loan"
"0x6ccc5aff41e3dc2477ed852d0959f1d324a67302790dfc8140aa35f00d747091","11767182","1612140523","2021-02-01 00:48:43","0x0000000000000000000000000000000000000000","0x464c71f6c2f760dda6093dcb91c24c39e5d6e18c","5.455741","Flash Loan"
"0x6ccc5aff41e3dc2477ed852d0959f1d324a67302790dfc8140aa35f00d747091","11767182","1612140523","2021-02-01 00:48:43","0x63a3f444e97d14e671e7ee323c4234c8095e3516","0x0000000000000000000000000000000000000000","42,436.212864","Flash Loan"
"0xbfe84c850ab89af5f40f24dd383aed87eb2305ae75a0fcb36823a2313e9a7480","11767195","1612140715","2021-02-01 00:51:55","0x0000000000000000000000000000000000000000","0x464c71f6c2f760dda6093dcb91c24c39e5d6e18c","4.029146","0xd51c9ed7"
"0xbfe84c850ab89af5f40f24dd383aed87eb2305ae75a0fcb36823a2313e9a7480","11767195","1612140715","2021-02-01 00:51:55","0x0000000000000000000000000000000000000000","0x24e6cc41da6081bda289e6f589825f9ee7b00b20","5,098.002746","0xd51c9ed7"
"0x112f88cca4683fde35e63df8dfbb04bd2c7ef65267dc10b7cb8c712b83bbec12","11767195","1612140715","2021-02-01 00:51:55","0x6aa509b019a05d889d7222d75ff5ba584a733f0a","0x0000000000000000000000000000000000000000","100,000","Withdraw"
"0xcf2b2320f7ae72c932c9df8a813841ba2f04c9f768cb5ce7e64715f3cc4dfcf3","11767199","1612140748","2021-02-01 00:52:28","0x0000000000000000000000000000000000000000","0x464c71f6c2f760dda6093dcb91c24c39e5d6e18c","0.692621","Withdraw"
"0xcf2b2320f7ae72c932c9df8a813841ba2f04c9f768cb5ce7e64715f3cc4dfcf3","11767199","1612140748","2021-02-01 00:52:28","0x6aa509b019a05d889d7222d75ff5ba584a733f0a","0x0000000000000000000000000000000000000000","400,179.88865","Withdraw"
"0xe3a2588069f4db31c6cdbe90300ae2c7e4eafb53c23bd60976f01dd49802d4e0","11767234","1612141193","2021-02-01 00:59:53","0x0000000000000000000000000000000000000000","0x464c71f6c2f760dda6093dcb91c24c39e5d6e18c","9.346244","Repay"
"0x48d4f4d09ab13fd2d6b2cdff0464864f167f9390793dabf66f415182f1cafa20","11767236","1612141207","2021-02-01 01:00:07","0x0000000000000000000000000000000000000000","0x464c71f6c2f760dda6093dcb91c24c39e5d6e18c","0.294017","0x90411a32"
"0x48d4f4d09ab13fd2d6b2cdff0464864f167f9390793dabf66f415182f1cafa20","11767236","1612141207","2021-02-01 01:00:07","0x0000000000000000000000000000000000000000","0xdebf20617708857ebe4f679508e7b7863a8a8eee","86,000","0x90411a32"
"0xd18a1544978509a273e8d3658c3b936fd7d96aa9da5f3c0cb5e3d76c54ee9a56","11767243","1612141313","2021-02-01 01:01:53","0x0000000000000000000000000000000000000000","0x464c71f6c2f760dda6093dcb91c24c39e5d6e18c","2.225801","Borrow"
"0x2d45891763252faa6908c857b8c1b4e13871172fb3afc669f5c0bd9347969bda","11767247","1612141339","2021-02-01 01:02:19","0x0000000000000000000000000000000000000000","0x464c71f6c2f760dda6093dcb91c24c39e5d6e18c","0.546064","0xe6813563"
"0x403ee9ad83cd61ce080eedde9ba92e1dcfe935017dd047a8cbfb8b36c70afb97","11767250","1612141359","2021-02-01 01:02:39","0x0000000000000000000000000000000000000000","0x464c71f6c2f760dda6093dcb91c24c39e5d6e18c","0.420036","0x1b277241"
"0x403ee9ad83cd61ce080eedde9ba92e1dcfe935017dd047a8cbfb8b36c70afb97","11767250","1612141359","2021-02-01 01:02:39","0x0000000000000000000000000000000000000000","0xe069cb01d06ba617bcdf789bf2ff0d5e5ca20c71","6,922.389094","0x1b277241"
"0x403ee9ad83cd61ce080eedde9ba92e1dcfe935017dd047a8cbfb8b36c70afb97","11767250","1612141359","2021-02-01 01:02:39","0xe069cb01d06ba617bcdf789bf2ff0d5e5ca20c71","0xd291328a6c202c5b18dcb24f279f69de1e065f70","6,922.389094","0x1b277241"
"0x403ee9ad83cd61ce080eedde9ba92e1dcfe935017dd047a8cbfb8b36c70afb97","11767250","1612141359","2021-02-01 01:02:39","0xd291328a6c202c5b18dcb24f279f69de1e065f70","0xd9fe94c8a0a9159d52683074a63acbf5fff1e379","6,922.389094","0x1b277241"
"0x499d2563d5e32c604a9191ebf472d56146afb0f97e7ecc01400227d1600b9f2c","11767261","1612141438","2021-02-01 01:03:58","0x0000000000000000000000000000000000000000","0x464c71f6c2f760dda6093dcb91c24c39e5d6e18c","1.659124","Flash Loan"
"0x9f3e7fe08ee698c6b58388ac4f0e3d96aa8bc992cd19597452350d9e9f50ca0d","11767275","1612141632","2021-02-01 01:07:12","0x0000000000000000000000000000000000000000","0x464c71f6c2f760dda6093dcb91c24c39e5d6e18c","4.072245","0x90411a32"
"0x9f3e7fe08ee698c6b58388ac4f0e3d96aa8bc992cd19597452350d9e9f50ca0d","11767275","1612141632","2021-02-01 01:07:12","0x0000000000000000000000000000000000000000","0xdebf20617708857ebe4f679508e7b7863a8a8eee","45,000","0x90411a32"
